log_id,created_at,user_id,vip_level,char_name,rarity,origin,destination,status,gross_revenue,dispatch_cost,net_profit,time_hours,profit_per_hour,is_red_card
L00000,2026-04-27 19:00:00,U0077,5,Aria,Red,Fishing Village,Capital,Completed,750,500,250,2,125.0,True
L00001,2026-04-04 22:00:00,U0075,0,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00002,2026-04-04 09:00:00,U0029,3,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00003,2026-04-23 19:00:00,U0093,1,Aria,Red,Fishing Village,Capital,Completed,750,500,250,2,125.0,True
L00004,2026-04-18 10:00:00,U0093,1,Blacksmith,Blue,Capital,Black Market,Completed,1575,100,1475,8,184.375,False
L00005,2026-04-14 11:00:00,U0037,0,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00006,2026-04-10 12:00:00,U0077,5,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00007,2026-04-22 12:00:00,U0017,4,Nyx,Gold,Capital,Mines,Failed,0,300,-300,4,0.0,False
L00008,2026-04-15 09:00:00,U0019,5,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00009,2026-04-13 23:00:00,U0059,0,Nyx,Gold,Fishing Village,Capital,Completed,625,300,325,2,162.5,False
L00010,2026-04-21 14:00:00,U0093,1,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00011,2026-04-30 01:00:00,U0028,3,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00012,2026-04-11 07:00:00,U0069,5,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00013,2026-04-08 19:00:00,U0043,4,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00014,2026-04-24 16:00:00,U0010,3,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00015,2026-04-18 06:00:00,U0013,0,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00016,2026-04-05 00:00:00,U0054,5,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00017,2026-04-28 05:00:00,U0094,3,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00018,2026-04-23 05:00:00,U0099,1,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00019,2026-04-07 14:00:00,U0060,5,Aria,Red,Fishing Village,Capital,Completed,750,500,250,2,125.0,True
L00020,2026-04-29 04:00:00,U0054,5,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00021,2026-04-22 01:00:00,U0044,2,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00022,2026-04-02 07:00:00,U0049,0,Blacksmith,Blue,Capital,Black Market,Completed,1575,100,1475,8,184.375,False
L00023,2026-04-06 00:00:00,U0074,4,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00024,2026-04-22 14:00:00,U0019,5,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00025,2026-04-12 21:00:00,U0005,2,Aria,Red,Fishing Village,Capital,Failed,0,500,-500,2,0.0,True
L00026,2026-04-12 05:00:00,U0057,3,Trader,Purple,Capital,Black Market,Failed,0,200,-200,8,0.0,False
L00027,2026-04-28 02:00:00,U0013,0,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00028,2026-04-06 15:00:00,U0058,4,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00029,2026-04-19 08:00:00,U0042,4,Nyx,Gold,Capital,Black Market,Completed,1875,300,1575,8,196.875,False
L00030,2026-04-25 22:00:00,U0100,4,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00031,2026-04-24 04:00:00,U0005,2,Nyx,Gold,Fishing Village,Capital,Completed,625,300,325,2,162.5,False
L00032,2026-04-02 15:00:00,U0059,0,Nyx,Gold,Capital,Black Market,Completed,1875,300,1575,8,196.875,False
L00033,2026-04-24 04:00:00,U0084,5,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00034,2026-04-05 01:00:00,U0042,4,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00035,2026-04-20 23:00:00,U0006,3,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00036,2026-04-07 19:00:00,U0037,0,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00037,2026-04-27 11:00:00,U0099,1,Aria,Red,Fishing Village,Capital,Completed,750,500,250,2,125.0,True
L00038,2026-04-06 20:00:00,U0031,2,Aria,Red,Capital,Black Market,Failed,0,500,-500,8,0.0,True
L00039,2026-04-13 21:00:00,U0078,4,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00040,2026-04-16 10:00:00,U0066,2,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00041,2026-04-24 08:00:00,U0098,2,Nyx,Gold,Fishing Village,Capital,Completed,625,300,325,2,162.5,False
L00042,2026-04-29 12:00:00,U0082,4,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00043,2026-04-09 06:00:00,U0036,5,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00044,2026-04-18 16:00:00,U0073,5,Nyx,Gold,Capital,Black Market,Completed,1875,300,1575,8,196.875,False
L00045,2026-04-28 04:00:00,U0085,2,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00046,2026-04-03 18:00:00,U0086,1,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00047,2026-04-26 20:00:00,U0049,0,Trader,Purple,Capital,Mines,Failed,0,200,-200,4,0.0,False
L00048,2026-04-27 12:00:00,U0097,3,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00049,2026-04-03 03:00:00,U0029,3,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00050,2026-04-13 08:00:00,U0081,0,Nyx,Gold,Capital,Black Market,Completed,1875,300,1575,8,196.875,False
L00051,2026-04-05 04:00:00,U0062,2,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00052,2026-04-14 14:00:00,U0060,5,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00053,2026-04-17 11:00:00,U0071,3,Nyx,Gold,Capital,Black Market,Completed,1875,300,1575,8,196.875,False
L00054,2026-04-06 13:00:00,U0052,2,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00055,2026-04-29 09:00:00,U0087,0,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00056,2026-04-06 18:00:00,U0061,3,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00057,2026-04-13 19:00:00,U0032,0,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00058,2026-04-03 00:00:00,U0039,3,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00059,2026-04-28 02:00:00,U0081,0,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00060,2026-04-19 08:00:00,U0017,4,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00061,2026-04-28 21:00:00,U0038,3,Nyx,Gold,Fishing Village,Capital,Completed,625,300,325,2,162.5,False
L00062,2026-04-20 21:00:00,U0010,3,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00063,2026-04-01 13:00:00,U0033,5,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00064,2026-04-27 07:00:00,U0045,4,Blacksmith,Blue,Capital,Black Market,Completed,1575,100,1475,8,184.375,False
L00065,2026-04-10 03:00:00,U0071,3,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00066,2026-04-04 07:00:00,U0069,5,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00067,2026-04-13 16:00:00,U0027,5,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00068,2026-04-24 21:00:00,U0007,5,Blacksmith,Blue,Capital,Black Market,Completed,1575,100,1475,8,184.375,False
L00069,2026-04-19 16:00:00,U0035,4,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00070,2026-04-15 04:00:00,U0014,4,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00071,2026-04-25 23:00:00,U0039,3,Nyx,Gold,Fishing Village,Capital,Completed,625,300,325,2,162.5,False
L00072,2026-04-19 00:00:00,U0015,2,Blacksmith,Blue,Capital,Black Market,Failed,0,100,-100,8,0.0,False
L00073,2026-04-07 05:00:00,U0081,0,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00074,2026-04-10 20:00:00,U0085,2,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00075,2026-04-30 14:00:00,U0054,5,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00076,2026-04-08 14:00:00,U0053,0,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00077,2026-04-20 06:00:00,U0019,5,Nyx,Gold,Capital,Black Market,Completed,1875,300,1575,8,196.875,False
L00078,2026-04-18 12:00:00,U0100,4,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00079,2026-04-17 07:00:00,U0056,2,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00080,2026-04-08 14:00:00,U0060,5,Blacksmith,Blue,Fishing Village,Capital,Failed,0,100,-100,2,0.0,False
L00081,2026-04-08 03:00:00,U0044,2,Aria,Red,Fishing Village,Capital,Failed,0,500,-500,2,0.0,True
L00082,2026-04-10 09:00:00,U0040,2,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00083,2026-04-18 05:00:00,U0047,0,Nyx,Gold,Capital,Black Market,Completed,1875,300,1575,8,196.875,False
L00084,2026-04-23 13:00:00,U0039,3,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00085,2026-04-26 04:00:00,U0099,1,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00086,2026-04-07 19:00:00,U0031,2,Nyx,Gold,Capital,Black Market,Completed,1875,300,1575,8,196.875,False
L00087,2026-04-29 13:00:00,U0015,2,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00088,2026-04-05 06:00:00,U0078,4,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00089,2026-04-02 01:00:00,U0042,4,Aria,Red,Capital,Black Market,Failed,0,500,-500,8,0.0,True
L00090,2026-04-01 08:00:00,U0092,1,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00091,2026-04-03 18:00:00,U0027,5,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00092,2026-04-01 00:00:00,U0024,1,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00093,2026-04-11 01:00:00,U0074,4,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00094,2026-04-06 09:00:00,U0095,3,Blacksmith,Blue,Fishing Village,Capital,Failed,0,100,-100,2,0.0,False
L00095,2026-04-14 20:00:00,U0005,2,Nyx,Gold,Fishing Village,Capital,Completed,625,300,325,2,162.5,False
L00096,2026-04-26 11:00:00,U0039,3,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00097,2026-04-01 10:00:00,U0007,5,Nyx,Gold,Capital,Mines,Failed,0,300,-300,4,0.0,False
L00098,2026-04-22 07:00:00,U0037,0,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00099,2026-04-19 13:00:00,U0098,2,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00100,2026-04-24 04:00:00,U0048,3,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00101,2026-04-05 08:00:00,U0073,5,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00102,2026-04-11 13:00:00,U0096,4,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00103,2026-04-10 18:00:00,U0021,5,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00104,2026-04-26 01:00:00,U0082,4,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00105,2026-04-10 19:00:00,U0046,2,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00106,2026-04-05 19:00:00,U0049,0,Nyx,Gold,Fishing Village,Capital,Completed,625,300,325,2,162.5,False
L00107,2026-04-08 12:00:00,U0034,4,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00108,2026-04-11 03:00:00,U0084,5,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00109,2026-04-29 19:00:00,U0021,5,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00110,2026-04-24 10:00:00,U0001,0,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00111,2026-04-01 22:00:00,U0064,3,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00112,2026-04-27 08:00:00,U0075,0,Nyx,Gold,Fishing Village,Capital,Completed,625,300,325,2,162.5,False
L00113,2026-04-04 15:00:00,U0056,2,Trader,Purple,Capital,Mines,Failed,0,200,-200,4,0.0,False
L00114,2026-04-09 04:00:00,U0015,2,Aria,Red,Capital,Black Market,Completed,2250,500,1750,8,218.75,True
L00115,2026-04-12 00:00:00,U0028,3,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00116,2026-04-23 18:00:00,U0027,5,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00117,2026-04-11 23:00:00,U0045,4,Nyx,Gold,Fishing Village,Capital,Completed,625,300,325,2,162.5,False
L00118,2026-04-09 13:00:00,U0008,0,Trader,Purple,Capital,Black Market,Failed,0,200,-200,8,0.0,False
L00119,2026-04-03 21:00:00,U0064,3,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00120,2026-04-11 03:00:00,U0006,3,Blacksmith,Blue,Capital,Black Market,Failed,0,100,-100,8,0.0,False
L00121,2026-04-08 09:00:00,U0055,2,Nyx,Gold,Capital,Black Market,Failed,0,300,-300,8,0.0,False
L00122,2026-04-11 10:00:00,U0036,5,Nyx,Gold,Capital,Black Market,Completed,1875,300,1575,8,196.875,False
L00123,2026-04-13 04:00:00,U0061,3,Aria,Red,Fishing Village,Capital,Completed,750,500,250,2,125.0,True
L00124,2026-04-19 20:00:00,U0021,5,Blacksmith,Blue,Capital,Black Market,Failed,0,100,-100,8,0.0,False
L00125,2026-04-16 12:00:00,U0090,4,Nyx,Gold,Capital,Black Market,Completed,1875,300,1575,8,196.875,False
L00126,2026-04-12 19:00:00,U0070,3,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00127,2026-04-02 04:00:00,U0067,3,Trader,Purple,Capital,Black Market,Failed,0,200,-200,8,0.0,False
L00128,2026-04-20 02:00:00,U0096,4,Aria,Red,Fishing Village,Capital,Completed,750,500,250,2,125.0,True
L00129,2026-04-02 14:00:00,U0039,3,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00130,2026-04-04 16:00:00,U0018,1,Blacksmith,Blue,Capital,Black Market,Completed,1575,100,1475,8,184.375,False
L00131,2026-04-19 10:00:00,U0017,4,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00132,2026-04-10 17:00:00,U0077,5,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00133,2026-04-21 00:00:00,U0015,2,Nyx,Gold,Capital,Black Market,Failed,0,300,-300,8,0.0,False
L00134,2026-04-24 03:00:00,U0042,4,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00135,2026-04-12 10:00:00,U0050,0,Blacksmith,Blue,Capital,Mines,Completed,840,100,740,4,185.0,False
L00136,2026-04-13 06:00:00,U0033,5,Blacksmith,Blue,Fishing Village,Capital,Failed,0,100,-100,2,0.0,False
L00137,2026-04-25 11:00:00,U0010,3,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00138,2026-04-20 11:00:00,U0034,4,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00139,2026-04-27 18:00:00,U0031,2,Blacksmith,Blue,Fishing Village,Capital,Completed,525,100,425,2,212.5,False
L00140,2026-04-11 21:00:00,U0070,3,Blacksmith,Blue,Capital,Black Market,Completed,1575,100,1475,8,184.375,False
L00141,2026-04-26 02:00:00,U0036,5,Blacksmith,Blue,Fishing Village,Capital,Failed,0,100,-100,2,0.0,False
L00142,2026-04-21 06:00:00,U0077,5,Blacksmith,Blue,Capital,Mines,Failed,0,100,-100,4,0.0,False
L00143,2026-04-07 13:00:00,U0017,4,Aria,Red,Capital,Mines,Completed,1200,500,700,4,175.0,True
L00144,2026-04-27 12:00:00,U0026,4,Trader,Purple,Fishing Village,Capital,Completed,575,200,375,2,187.5,False
L00145,2026-04-17 02:00:00,U0006,3,Blacksmith,Blue,Fishing Village,Capital,Failed,0,100,-100,2,0.0,False
L00146,2026-04-03 04:00:00,U0034,4,Nyx,Gold,Capital,Mines,Failed,0,300,-300,4,0.0,False
L00147,2026-04-11 21:00:00,U0079,4,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00148,2026-04-10 21:00:00,U0055,2,Trader,Purple,Capital,Black Market,Completed,1724,200,1524,8,190.5,False
L00149,2026-04-27 10:00:00,U0002,2,Nyx,Gold,Capital,Black Market,Completed,1875,300,1575,8,196.875,False
L00150,2026-04-21 13:00:00,U0097,3,Nyx,Gold,Fishing Village,Capital,Completed,625,300,325,2,162.5,False
L00151,2026-04-07 01:00:00,U0054,5,Trader,Purple,Capital,Mines,Completed,919,200,719,4,179.75,False
L00152,2026-04-17 22:00:00,U0087,0,Trader,Purple,Fishing Village,Capital,Failed,0,200,-200,2,0.0,False
L00153,2026-04-01 00:00:00,U0013,0,Nyx,Gold,Capital,Mines,Completed,1000,300,700,4,175.0,False
L00154,2026-04-22 20:00:00,U0055,2,Aria,Red,Fishing Village,Capital,Completed,750,500,250,2,125.0,True
L00155,2026-04-28 06:00:00,U0078,4,Blacksmith,Blue,Capital,Black Market,Completed,1575,100,1475,8,184.375,False
